source_file,original_column,original_value,LakeID
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,msk,msk
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,mud,mud
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,nimpkish,nimpkish
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,ormand,ormand
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,pachena,pachena
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,roberts,roberts
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,roselle,roselle
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,rss,rosseau
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,sarita,sarita
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,skating pond,skatingpond
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,stella,stella
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,sug saw,sugsaw
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,theimer,theimer
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,tsiko,tsiko
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,vernon,vernon
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE,woss,woss
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,AMO,amor
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,ANU,anutz
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,BEA,beaver
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,BLA,black
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,BLK,blackwater
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,BOO,boot
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,BRB,brownbay
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,BRE,brewster
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,CED,cedar
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,COM,comida
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,ECH,echo
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,FAR,far
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,FRE,frederick
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,FRY,fry
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,GRA,gramma
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,GRY,gray
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,JOE,joe
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,KID,kidney
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,L2B,skatingpond
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,LAW,lawson
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,LCL,lowercampbell
01_WorkingData/Infection Data/42_Lake_Copepod_Infection.csv,LAKE_CODE,LML,littlemud
